#File/DateTime,2023-11-24_155601
#File/FileFormat,optical v4.4
#File/User,Filip
#File/Tags,
#File/Category,List View
#File/Exercise,
#ConnectDevice/Name,iPad
#Software/Build.buildTag,1.1.0.21
#Firmware/Build.buildTag,10600
#Device/Version.serialId,MOOD_D16A6B62A7D0 [07690EE8-70D9-EC8E-02EF-A4E7F8CA1170]
#Device/Version.hardware,1
#Accelerometer/Version.model,BHI260AP
#Accelerometer/Properties.rawDivisor,417.533129
#Accelerometer/Config.hertz,18.000000
#Gyroscope/Version.model,BHI260AP
#Gyroscope/Properties.rawDivisor,16.400000
#Gyroscope/Config.hertz,28.000000
#Magnetometer/Version.model,BHI260AP
#Magnetometer/Properties.rawDivisor,16.000000
#Magnetometer/Config.hertz,48.000000
#Euler/Version.model,BHI260AP
#Euler/Properties.rawDivisor,91.022222
#Euler/Config.hertz,50.000000
#Pressure/Version.model,BMP390
#Pressure/Properties.rawDivisor,1.000000
#Pressure/Config.hertz,38.000000
#Nav/Properties.rawDivisor,143.859539
#Nav/Properties.sensorCount,6
#Nav/Properties.ids[],RightCheek,RightBrow,LeftBrow,RightTemple,LeftCheek,LeftTemple
#Nav/Config/Raw.hertz,50.000000
#Prox/Properties.formula,31.4*exp(-0.001399*x)+14.14*exp(-9.446e-05*x)
#Prox/Properties.sensorCount,6
#Prox/Properties.ids[],RightCheek,RightBrow,CentreBottomBrow,CentreTopBrow,LeftBrow,LeftCheek
#Prox/Config/Raw.hertz,50.000000
#Calibration/SmileL,true
#Calibration/SmileR,true
#Calibration/BrowraiseL,true
#Calibration/BrowraiseR,true
#Calibration/FrownL,true
#Calibration/FrownR,true

Timestamp,Accelerometer/Raw.X,Accelerometer/Raw.Y,Accelerometer/Raw.Z,Gyroscope/Raw.X,Gyroscope/Raw.Y,Gyroscope/Raw.Z,Magnetometer/Raw.X,Magnetometer/Raw.Y,Magnetometer/Raw.Z,Euler/Raw.X,Euler/Raw.Y,Euler/Raw.Z,Nav/Raw.X[RightCheek],Nav/Raw.Y[RightCheek],Nav/Raw.X[RightBrow],Nav/Raw.Y[RightBrow],Nav/Raw.X[LeftBrow],Nav/Raw.Y[LeftBrow],Nav/Raw.X[RightTemple],Nav/Raw.Y[RightTemple],Nav/Raw.X[LeftCheek],Nav/Raw.Y[LeftCheek],Nav/Raw.X[LeftTemple],Nav/Raw.Y[LeftTemple],Prox/Raw[RightCheek],Prox/Raw[RightBrow],Prox/Raw[CentreBottomBrow],Prox/Raw[CentreTopBrow],Prox/Raw[LeftBrow],Prox/Raw[LeftCheek],Pressure/Raw,Battery,RSSI,DebugBits/Flags,MicBits/Front0Rear1,SoftwareTimestamp,Oco/State,Expression/Intensity[SmileL],Expression/Intensity[SmileR],Expression/Intensity[SurpriseL],Expression/Intensity[SurpriseR],Expression/Intensity[FrownL],Expression/Intensity[FrownR],Expression/Certainty,Activity/Output,Activity/Certainty,Stats/CheekRaise,Stats/BrowRaise,Stats/BrowLower,Stats/Attention,Stats/Expressivity,Stats/Interaction,Stats/Valence,Stats/Engagement,Annotations
1700833752.004000, -294.0, -3797.0, 1328.0, -39.0, 13.0, 34.0, 196.0, -671.0, 97.0, 2240.0, 6451.0, -374.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2920.0, 6336.0, 8071.0, 9645.0, 4645.0, 2743.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.112000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
1700833752.024000, -300.0, -3793.0, 1349.0, -24.0, 3.0, 50.0, 192.0, -670.0, 99.0, 2235.0, 6454.0, -379.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, 2919.0, 6338.0, 8108.0, 9645.0, 4652.0, 2743.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.112000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
1700833752.044000, -327.0, -3809.0, 1350.0, -12.0, -10.0, 62.0, 188.0, -669.0, 99.0, 2227.0, 6455.0, -386.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2919.0, 6336.0, 8106.0, 9635.0, 4644.0, 2743.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.172000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
1700833752.064000, -328.0, -3863.0, 1354.0, -1.0, -27.0, 54.0, 190.0, -666.0, 96.0, 2219.0, 6455.0, -391.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2918.0, 6336.0, 8103.0, 9634.0, 4642.0, 2743.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.172000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
1700833752.084000, -348.0, -3917.0, 1336.0, 6.0, -39.0, 33.0, 194.0, -666.0, 94.0, 2211.0, 6455.0, -395.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2917.0, 6336.0, 8096.0, 9630.0, 4642.0, 2742.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.173000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
1700833752.104000, -351.0, -3954.0, 1301.0, 7.0, -40.0, 5.0, 195.0, -661.0, 94.0, 2206.0, 6454.0, -395.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2918.0, 6334.0, 8091.0, 9615.0, 4639.0, 2742.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.232000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
1700833752.124000, -355.0, -3951.0, 1280.0, 0.0, -32.0, -20.0, 195.0, -663.0, 95.0, 2205.0, 6454.0, -392.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0, 0.0, 2917.0, 6335.0, 8115.0, 9578.0, 4640.0, 2741.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.232000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
1700833752.144000, -343.0, -3938.0, 1262.0, -11.0, -17.0, -37.0, 196.0, -667.0, 93.0, 2207.0, 6456.0, -388.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2916.0, 6332.0, 8122.0, 9624.0, 4639.0, 2742.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.232000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
1700833752.164000, -329.0, -3927.0, 1254.0, -20.0, 0.0, -39.0, 195.0, -663.0, 93.0, 2211.0, 6458.0, -384.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2918.0, 6323.0, 8051.0, 9615.0, 4639.0, 2742.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.292000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
1700833752.184000, -305.0, -3913.0, 1251.0, -19.0, 18.0, -45.0, 196.0, -662.0, 93.0, 2217.0, 6461.0, -380.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2917.0, 6323.0, 8091.0, 9612.0, 4637.0, 2741.0, 97272.0, 70.0, -60.0, 2236418.0, 0.0, 1700837762.292000, 2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, sitting/normal/None
